StationName,RouteNumbers,geometry
1-я ул. 8-го Марта,А105К,POINT (37.54935307 55.80027904)
Петровско-Разумовская ал.,А105К; А132; А318; А84; А22; А319; А384,POINT (37.55895913 55.79487824)
1-я ул. 8-го Марта,А105; А105К,POINT (37.548412938 55.8011267664)
4-я ул. 8-го Марта,А105; А105К,POINT (37.54517782 55.80315252)
Ленинградский рынок - К/т Баку,А105; А105К; А110; А132,POINT (37.52945405 55.80877473)
Российская открытая академия транспорта,А105; А105К; А110; А132,POINT (37.52573767 55.80972867)
1-й Балтийский пер.,А105; А105К; А110; А132,POINT (37.5202407 55.81113993)
Почта,А105; АП115; А800,POINT (37.49206711 55.80137286)
1-й Волоколамский пр.,А105; АП115; А800,POINT (37.49077163 55.80282528)
2-й Пехотный пер.,А105; А800,POINT (37.48890968 55.80447564)
52-я гор. б-ца,А105; А800,POINT (37.48431004 55.80571554)
Детский сад,А105; А800,POINT (37.48307023 55.80702966)
Сосновая ул.,А105; А800,POINT (37.47847049 55.80690064)
1-й Пехотный пер.,А105; А460; А800,POINT (37.47660275 55.80425072)
Пулковская ул.,А70; А500; А621,POINT (37.48944038 55.84632385)
"Флотская ул., 36",А70; А500; А621,POINT (37.49234418 55.85079102)
Поликлиника,А70; А698; А500; А621,POINT (37.50108072 55.85399188)
Школа № 648,А70; А698; А500; А621,POINT (37.50383408 55.8549718)
Флотская ул.,А70; А698; А500; А621,POINT (37.50949264 55.85700257)
Солнечногорская ул.,А65; А70; А698,POINT (37.51478718 55.85677503)
"Сенежская ул.,1 - Колледж предпринимательства",А70,POINT (37.51657768 55.85973631)
Сенежская ул.,А70,POINT (37.51423581 55.86089426)
Солнечногорская ул.,А65; А70; А698; А65К; А565,POINT (37.51401468 55.85642813)
Флотская ул.,А70; А698; А621; А500,POINT (37.50859495 55.85691524)
Поликлиника,А70; А698; А621; А500,POINT (37.50178932 55.85446122)
Смольная ул.,А70; А698; А594; А621; А500,POINT (37.49462719 55.85184812)
Пулковская ул.,А70; А621; А500,POINT (37.48979253 55.84540275)
Ин-т Цветметавтоматика,АМ10; А114; А466; А167; А154; АТ47,POINT (37.5624216962 55.8589115909)
Метро Верхние Лихоборы - Северный вестибюль,АМ10; А114; А167; А170; А154,POINT (37.56240004 55.85736801)
Нарвская ул. - Университет Гражданской Авиации,А65; А72; А139; А65К,POINT (37.5031925 55.84459084)
Университет спорта и туризма,А65; А72; А139; А65К,POINT (37.51280334 55.85174733)
Лихоборская наб.,А65; А72; А139; А65К,POINT (37.5160769692 55.852666487)
"Солнечногорская ул.,15 - Колледж предпринимательства",А65; А698,POINT (37.52010601 55.86081819)
"Солнечногорская ул.,15 - Колледж предпринимательства",А65; А698; А65К; А565,POINT (37.51934402 55.86053444)
Лихоборская наб.,А65; А72; А139; А65К,POINT (37.5151294985 55.8525973596)
Университет спорта и туризма,А65; А72; А139; А65К,POINT (37.51095173 55.85131969)
Нарвская ул. - Университет Гражданской Авиации,А65; А72; А139; А65К,POINT (37.50317031 55.8447254)
Пр. Черепановых,А72; А801; А87; А22,POINT (37.5266201841 55.8396100803)
Соболевский пр.,А72; А801; А87; А22; АО27,POINT (37.5301106 55.83867407)
Политехнический университет,А72; А801; А87; А22; АО27,POINT (37.54320731 55.83519691)
Тимирязевская академия,А72; А801; А87; А22; АО27,POINT (37.54993836 55.83341524)
Пасечная ул.,А72; А801; А87; А22; АО27,POINT (37.55276469 55.82979983)
Парк Дубки,А72; А466; А801; А22; А82; АО27,POINT (37.56230019 55.81830039)
Больница имени Спасокукоцкого,А466; А22; А319,POINT (37.55706274 55.81245767)
Пр. Соломенной Сторожки,А466; А22; А319,POINT (37.56009979 55.80729184)
Дмитровский пр.,А72; А22; А319; А82,POINT (37.57133003 55.80737234)
Всероссийское Общество Слепых,А22; А319; А82,POINT (37.56798446 55.80496909)
2-я Хуторская ул.,А22; А319; А82,POINT (37.56363184 55.80245128)
Писцовая ул.,А22; А82,POINT (37.56828288 55.7976739)
Петровско-Разумовский пр.,А22,POINT (37.56856682 55.7959313)
Петровско-Разумовский пр.,А22,POINT (37.56899242 55.79483867)
Писцовая ул.,А22; А319; А82,POINT (37.56806202 55.79828331)
2-я Хуторская ул.,А22; А319; А82,POINT (37.56409114 55.80233029)
Всероссийское Общество Слепых,А22; А319; А82,POINT (37.56935149 55.80510455)
Дмитровский пр.,А72; А466; А22; А319; А82; АО27,POINT (37.57049117 55.80882552)
Больница имени Спасокукоцкого,А801; А466; А22; А319,POINT (37.55786267 55.81167022)
Парк Дубки,А72; А801; А466; А22; А319; А82; АО27,POINT (37.56165453 55.81949598)
Красностуденческий пр.,А72; А801; А22; АО27,POINT (37.55898612 55.82271493)
Пасечная ул.,А72; А801; А87; А22; АО27,POINT (37.5525004 55.83051264)
Тимирязевская академия,А72; А801; А87; А22; АО27,POINT (37.55004232 55.83375504)
Политехнический университет,А72; А801; А87; А22; АО27,POINT (37.54191519 55.83571746)
Б. Академическая ул.,А72; А801; А87; А22; АО27,POINT (37.53760115 55.83686083)
Пр. Черепановых,А72; А801; А87; А22,POINT (37.52668729 55.83977396)
Ул. Верхняя Масловка,А22; АТ29,POINT (37.56965969 55.79220519)
Пр. Соломенной Сторожки,А801; А466; А22; А319,POINT (37.56000307 55.80805865)
Ижорская ул.,А799; А656; А673; А200; А559; А270; А499,POINT (37.5100582542 55.8887608432)
Бусиново,А656; А200; А559; А270,POINT (37.496070963 55.8817612874)
Краснополянская ул.,А656; А200; А559; А270,POINT (37.4880378105 55.8846550366)
"Ижорская ул., 6",А799; А656; А673; А200; А559; А270; А499,POINT (37.501370277 55.8825159198)
Ул. Марш. Федоренко,А799; А656; А200; А559; А270; А499,POINT (37.48590023 55.88337571)
Краснополянская ул.,А799; А656; А200; А559; А270; А499,POINT (37.48950949 55.88501834)
Ул. Бусиновская Горка,А799; А656; А200; А559; А270; А499,POINT (37.493061 55.88546893)
"Ижорская ул., 6",А799; А656; А673; А200; А559; А270; А499,POINT (37.50083838 55.88171538)
Рыбокомбинат,А799; А656; А673; А200; А559; А270; А499,POINT (37.5048412609 55.8849515631)
Ижорская ул.,А799; А656; А673; А200; А559; А270; А499,POINT (37.51065136 55.88870379)
15-й таксомоторный парк,А200; А188; А801; А451; А673,POINT (37.48480428 55.86634844)
К/т Волга,А563; А63; А149; А763; АТ36; АТ78,POINT (37.5424934335 55.8885827221)
Селигерская ул.,А179; А563; А763; АТ36; АТ78,POINT (37.54670927 55.86904594)
434-е отделение связи,АМ10; А87; АТ78; А319; АТ47; АТ56,POINT (37.5730144028 55.8215652721)
Ул. Всеволода Вишневского,АМ10; А87; АТ78; АТ47; АТ56,POINT (37.57784748 55.81266755)
Метро Дмитровская,АТ78; АТ3; АТ29; АТ47; АТ56,POINT (37.58130875 55.80662786)
"Бутырская ул., 62",АМ10; А87; АТ78; А466; АТ3; АТ29; АТ47; АТ56,POINT (37.58301545 55.80184252)
Бутырская слобода,АМ10; А87; АТ78; А466; АТ3; АТ29; АТ47; АТ56,POINT (37.5833357215 55.800461473)
Савёловский вокзал,АМ10; АТ78; АТ3; АТ47; АТ56,POINT (37.58397332 55.79487456)
2-й Лесной пер.,АТ56; А12; АС532; АТ18; АТ78,POINT (37.58658429 55.78210613)
Ул. Сущевский Вал,АМ10; АТ78; АТ3; АТ47; АТ56,POINT (37.590714 55.79062955)
Бутырская ул.,АМ10; А87,POINT (37.58463823 55.79569066)
"Бутырская ул., 62",АМ10; А87; АТ78; АТ3; АТ29; АТ47; АТ56,POINT (37.58323426 55.80339594)
Метро Дмитровская,АТ78; АТ47; АТ56,POINT (37.58157155 55.80730392)
Ул. Всеволода Вишневского,АМ10; А87; АТ78; АТ47; АТ56,POINT (37.5780907275 55.8133694162)
434-е отделение связи,АМ10; А87; АТ78; АТ47; АТ56,POINT (37.57339366 55.82214075)
Нижн. Лихоборы,А179; А114; А466; АТ78; А82; А591; А194; А677; АМ10; АТ47; АТ56,POINT (37.56732208 55.84729349)
7-й автобусный парк,А179; А677; АМ10; А114; А466; А282; АТ47; А677К; А154; А82; А591; А194; А215; АТ36; АТ56; АТ78,POINT (37.56590713 55.85030802)
Лианозовский элмех. з-д,А563; А63; А559; А149; А571; А763; А284; А774; А92; А928; АТ36; АТ78,POINT (37.54350786 55.89139449)
"Дмитровское ш., 29",АМ10; А466; АТ78; А82; АТ47; АТ56,POINT (37.57316534 55.82945197)
Ул. Марш. Федоренко,А656; А200; А559; А270,POINT (37.48677795 55.88401518)
"Херсонская ул., 32",А246,POINT (37.55954217 55.65535177)
Пехотная ул.,А456; А456к; А412; А88; А460; АН12; А904К; А904; АМ1; АТ70; АО30; АО15; АТ82,POINT (37.48238529 55.81133819)
Ул. Серегина,А905; А105; А456; А456к; А412; АН12; А904К; А904; АМ1; АН1; АТ43; АТ42; АТ6; АТ65; АТ70; АТ82,POINT (37.54485023 55.79420677)
Путевой дворец,А105; А456; А318; АН12; АМ1; АН1; АТ70; АТ42; АТ65; АТ82,POINT (37.54849025 55.79263254)
Метро Динамо (южный вход),А456; А207; АН12; АМ1; АН1; АТ70; АТ65; АТ82,POINT (37.55983741 55.78758071)
МЦД Белорусская,А27; А905; А456; А84; АН12; А904К; А904; А101; АМ1; А345; АН1; АТ70; АТ82,POINT (37.57900682 55.77879349)
Метро Динамо (южный вход),А818; А105; А110; А456; А318; А84; АН12; А22; АМ1; АН1; АТ29; А322; АТ70; АТ82; АТ86,POINT (37.5593912553207 55.788916307680594)
Путевой дворец,А456; АН12; АМ1; АН1; АТ70; АТ82; АТ86,POINT (37.55239291 55.79195895)
Ул. Серегина,А905; А456; А456к; АН12; А904К; А904; АМ1; АН1; АТ43; А412; АТ42; АТ6; АТ70; АТ82; АТ86,POINT (37.54602831 55.79485212)
МАДИ - Финансовый университет,А905; А456; А456к; АН12; А904К; А904; АМ1; АН1; АТ43; А412; АТ42; АТ6; АТ70; АТ82; АТ86,POINT (37.52963278 55.80157684)
Гидропроект,А456; А456к; А88; АН12; АМ1; АТ70; А412; АО15; АТ82,POINT (37.501916 55.80797638)
Авиационный ин-т,А456; А456к; А88; АН12; АМ1; АТ70; А412; АО15; АТ82,POINT (37.49750362 55.80877639)
Пехотная ул.,А456; А456к; А88; А460; АН12; А904К; А904; АМ1; АТ70; А412; АО30; АО15; АТ82,POINT (37.48249108 55.81162182)
Покровское-Стрешнево,А456; А456к; А88; АН12; АМ1; АТ70; А412; АТ82,POINT (37.47760713 55.81259566)
Иваньковское ш.,АМ1; АТ82,POINT (37.46692625 55.81623036)
Покровское-Глебово,АМ1; А412; АТ82,POINT (37.46984766 55.81533781)
"Б-ца РЖД (к/ст, выс.)",АМ1; АТ82,POINT (37.45985969 55.81785581)
"Дмитровское ш., 29",АМ10; А466; АТ78; А82; АТ47; АТ56,POINT (37.57256476 55.82852464)
Метро Тимирязевская,АМ10; А87; АТ78; А319; АТ47; АТ56,POINT (37.5746407233 55.818464922)
Бутырская слобода,АМ10; А87; АТ78; АТ3; АТ29; АТ47; АТ56,POINT (37.58409234 55.79983587)
Метро Тимирязевская,АМ10; А87; АТ78; АТ47; АТ56,POINT (37.5751975678 55.8185429392)
К/т Рига,А76к; А85; АТ36; А803; А154; А24; А24К; АМ9; АН9; А76; А599; АТ73,POINT (37.58436933 55.84458929)
