StationName,RouteNumbers,geometry
Главный вход Ботанического сада,А76к; А85; АТ36; А803; А24; А24К; АМ9; АН9; А76; А599; АТ73,POINT (37.58570115 55.84262896)
"Ботаническая ул., 33",А76к; А85; АТ36; А803; А24; А24К; АМ9; АН9; А76; А599; АТ73,POINT (37.58858337 55.8402493)
Ул. Акад. Комарова,А379; А85; АТ36; А803; А24; А24К; АМ9; АН9; А76; А599; АТ73,POINT (37.60107644 55.82945279)
Ул. Кашенкин Луг,А379; А85; А803; А24; А24К; А76; А599,POINT (37.60214656 55.82440347)
Телецентр,А379; А85; А561; А311; АТ36; А24; А24К; АМ9; АН9; А76; АТ73,POINT (37.60417904 55.8213684)
Останкинский пруд,А379; А85; А561; А311; АТ36; А24; А24К; АМ9; АН9; А76; АТ73,POINT (37.61249591444981 55.82135805923984)
Экскурсионный корпус телебашни,А15; А85; А561; А24; А24К; АН6; АТ13,POINT (37.61738366 55.81684894)
2-я Новоостанкинская улица,А15; А85; А561; А24; А24К; АН6; АТ13,POINT (37.61817974 55.81377029)
Звездный бульв.,А85,POINT (37.62836544 55.8131772)
6-й Новоостанкинский пр.,А85; АП12,POINT (37.63212149 55.81555838)
Ул. Цандера,А85; АП12,POINT (37.6306705 55.81782669)
Улица Кондратюка,А85,POINT (37.6332174 55.81891731)
Гост. Останкино,АТ36; А803; А24; А24К; АМ9; АН9; АТ73,POINT (37.59479679 55.83355588)
Ул. Акад. Королева,А15; А85; А561; А24; А24К; АН6; АТ13,POINT (37.61655979 55.8208519)
Метро Алексеевская,А379; А903; А85; АМ9; АН9; А33; АТ14; АТ83,POINT (37.6369606 55.80911616)
Новоалексеевская ул.,А379; А85; АМ9; АН9; А33; АТ14; АТ83,POINT (37.63619726 55.80497185)
Новоалексеевская ул.,А379; А85; АМ9; АН9; А33; АТ14; АТ83,POINT (37.63705024 55.80523391)
Метро Алексеевская,А379; А85; А414; АМ9; АН9; А33; АТ83,POINT (37.63778119 55.80921754)
Староалексеевская ул.,А379; А85; А414; АМ9; АН9; А33; АТ14; АТ83,POINT (37.63791977 55.81102634)
Ул. Цандера,А85; АП12,POINT (37.63044273 55.81805839)
Звездный бульв.,А85,POINT (37.62537543 55.81365254)
2-я Новоостанкинская ул.,А15; А85; А24; А24К; АН6; АТ13,POINT (37.61829629 55.81449523)
Экскурсионный корпус телебашни,А15; А85; А24; А24К; АН6; АТ13,POINT (37.6175586 55.81747325)
Ул. Акад. Королева,А379; А85; А561; А311; АТ36; А24; А24К; АМ9; АН9; А76; АТ73,POINT (37.6159211 55.82169934)
Останкинский пруд,А379; А85; А561; А311; АТ36; А24; А24К; АМ9; АН9; А76; АТ73,POINT (37.61176015 55.82175066)
Телецентр,А379; А85; А561; А311; АТ36; А24; А24К; АМ9; АН9; А76; АТ73,POINT (37.60456160106011 55.821768006157)
Ул. Кашенкин Луг,А379; А85; АТ36; А803; А24; А24К; АМ9; АН9; А76; А599; АТ73,POINT (37.60226796 55.82540749)
Ул. Акад. Комарова,А76к; А85; АТ36; А803; А24; А24К; АМ9; АН9; А76; АТ73,POINT (37.60091971 55.83057072)
6-й Новоостанкинский пр.,А85,POINT (37.62955712 55.81531701)
Гост. Останкино,А76к; А85; АТ36; А803; А24; А24К; АМ9; АН9; А76; АТ73,POINT (37.59582389 55.83328234)
"Ботаническая ул., 33",А76к; А85; АТ36; А803; А24; А24К; АМ9; АН9; А76; А599; АТ73,POINT (37.58931158 55.83973132)
Главный вход Ботанического сада,А76к; А85; А24; А24К; АМ9; А76; А599,POINT (37.58667168 55.84383853)
Гидропроект,А456; А456к; А412; А88; АН12; АМ1; А175; АТ42; АТ70; АТ82,POINT (37.50777509 55.80633514)
Пищевой ин-т,А456; А456к; А412; А88; АН12; АМ1; А175; АО15; АТ70; АТ82,POINT (37.49955887 55.80789141)
Тушинская ул.,АН12; А248; АТ70; Тм6,POINT (37.45164585 55.82431894)
Западный мост,Тм6,POINT (37.43800898 55.83802898)
Талдомская ул.,А215К; А656; А672; А92; А191; А591; А194; А215; АТ56,POINT (37.52718211 55.87431805)
"Ул. Марш. Федоренко, 2",А799; А656; А673; А499,POINT (37.4932742244 55.8792672896)
Платф. Ховрино,А799; А656; А673; А499,POINT (37.4900247832 55.8807692539)
Платф. Ховрино,А656; А673,POINT (37.49035409 55.88030592)
"Ул. Марш. Федоренко, 2",А656; А673,POINT (37.49303071 55.87908674)
"Бусиново (к/ст, выс.)",А799; А656; А673; А499,POINT (37.49698687 55.88144854)
Стадион Лужники (южн.),А64; А216; А809; А255; АС12; АБК; АТ79,POINT (37.56614022 55.71417471)
Спортзал Дружба,А64; А216; А809; А255; АС12; АБК; АТ79,POINT (37.5701907 55.71250426)
Лужнецкая наб.,А64; А216; А809; А255; АС12; АБК; АТ79,POINT (37.57455868 55.71376996)
Новодевичье кладб.,А64; А216; А255; АМ3; АС12,POINT (37.556850629 55.7241935088)
Абрикосовский пер.,А64; А15; А255; АМ3; АС12,POINT (37.56651048 55.72973922)
Д/к Каучук,А64; АС12,POINT (37.57489258 55.73568214)
"Ул. Хамовнический Вал, 2",А64; А216; А809; А255,POINT (37.57523262 55.71653964)
Комсомольский просп.,А64; А216; А809; А255,POINT (37.57170613 55.71811707)
Смоленская пл.,А64; АБК; АТ10; АС12; АТ39; АТ79,POINT (37.58303298 55.74649424)
Дом Шаляпина,А64; АБК; АТ10; А869; АС369; АТ39; АТ79,POINT (37.58436605 55.7561172)
М. Грузинская ул.,А64; АС43; АМ35; АМ6; А869; АС344; АС369; АТ79,POINT (37.5703311729 55.7618907474)
Ваганьково,А64; А39; АС43; АМ35; А869; АС344; АС369; АТ79,POINT (37.55673251 55.76953423)
Издательский дом Красная звезда,А64; А39; А345; АМ35; АТ65,POINT (37.5332392021 55.7762505353)
5-я Магистральная ул.,А64; А39; А345; АМ35; АТ65,POINT (37.52959672 55.77704169)
Ул. Ген. Ивашутина,А64; А39; А345; АМ35; АТ65,POINT (37.5260774947 55.7778409593)
Ул. Ген. Ивашутина,А64; А39; А345; АМ35; АТ86,POINT (37.52685063 55.77731284)
Ваганьково,А64; А39; АС43; АМ35; А869; АС344; АС369; АТ79,POINT (37.55690409 55.76865214)
Метро Ул. 1905 года (сев.),А64; А39; АС43; АМ35; А869; АС344; АС369; АТ79,POINT (37.56059788 55.76516024)
М. Грузинская ул.,А64; А39; АС43; А69; АМ35; АМ6; А869; АС344; АС369; АТ79,POINT (37.5698903 55.76161739)
Кудринская площадь,А64; АТ10; АБ; А869; АС369; АТ39; АТ79,POINT (37.58412956 55.75820662)
Дом Шаляпина,А64; АТ10; АБ; АТ39; АТ79,POINT (37.58360929 55.75540878)
Ружейный пер.,А64; АС12,POINT (37.57736394 55.74201194)
Стадион Буревестник,А64; АС12,POINT (37.57511066 55.73682056)
Д/к Каучук,А64; АС12,POINT (37.57403189 55.73490132)
Трубецкая ул.,А64; А15; А255; АМ3; АС12,POINT (37.56948498 55.73128969)
Абрикосовский пер.,А64; А15; А255; АМ3; АС12,POINT (37.56416751 55.72896076)
Новодевичье кладб.,А64; А216; А255; АМ3; АС12,POINT (37.55592289 55.72358305)
Комсомольский просп.,А64; А216; А809; А255,POINT (37.57078121 55.71803052)
"Ул. Хамовнический Вал, 2",А64; А216; А809; А255,POINT (37.5755398 55.71592633)
Лужнецкая наб.,А64; А216; А809; А255; АС12; АТ79,POINT (37.57347968 55.71361484)
Спортзал Дружба,А64; А216; А809; А255; АС12; АТ79,POINT (37.56833801 55.71317471)
Ин-т Стройфизики,А282; А82; А194,POINT (37.57426183 55.84433844)
Гостиница,А466; А87; А82,POINT (37.57025727 55.82589828)
"Красностуденческий пр., 4",А466; А87; А82,POINT (37.56442066 55.82480251)
Красностуденческий пр.,А72; А466; А801; А22; А82; АО27,POINT (37.55848199 55.82290416)
"Тимирязевская ул., 30",А72; А466; А801; А22; А82; АО27,POINT (37.5606587218 55.8202896915)
Префектура САО,А72; А801; А82; АО27,POINT (37.56512291 55.81482028)
Театр Золотое кольцо,А72; А466; А22; А319; А82; АО27,POINT (37.5684116691 55.8108765768)
Плодоовощная база,А799; А656; А673; А200; А194; А270; А499,POINT (37.51516239 55.88564426)
Плодоовощная база,А799; А656; А673; А200; А194; А270; А499,POINT (37.51491677 55.8862894)
1-й Неопалимовский пер.,АБ; АБК; АТ10; АТ79,POINT (37.58461639 55.74033924)
"Ул. Берзарина, 32",А253; А26,POINT (37.47316811 55.78886456)
Ин-т Приборостроения,А39; А253; А26,POINT (37.48240018 55.79117184)
Управа района Щукино,А39; А26,POINT (37.4833339 55.79480318)
Поликлиника,А39; А26,POINT (37.4844579 55.79772467)
Поликлиника,А39; А26,POINT (37.48397939 55.79786336)
Управа района Щукино,А39; А681; А26,POINT (37.48308279 55.79458376)
Ин-т Приборостроения,А39; А253; А26,POINT (37.48178342 55.79096481)
"Ул. Берзарина, 32",А253; А26,POINT (37.4721979978 55.7891184452)
"Авангардная ул., 15",А70; А500; А621,POINT (37.48932003 55.84871348)
"Авангардная ул., 15",А70; А621; А500,POINT (37.48872132 55.84799445)
Канал им. Москвы,А456; А456к; А88; А248,POINT (37.4470809538 55.8213916453)
Клуб им. Чкалова,А456; А456к; А88; А248,POINT (37.44156946 55.82270276)
Сходненский тупик,А456; А1233к; А575; А326к; А456к; А549; А568; А541; А542; А88; А488; А540; А2; А210; А930; А640; А248; А614; А777; А631; А741,POINT (37.426036757 55.8265091918)
15-й автобусный парк,А456; А1233к; А575; А326к; А456к; А120; А151; А549; А409; А568; А541; А542; А372; А209к; А88; А488; А540; А2; А210; А930; А904К; А120к; А640; А904; А248; А614; А777; А631; А741,POINT (37.41597457 55.8286636)
Акад. Коммунального хоз-ва,А456; А1233к; А575; А326к; А456к; А549; А568; А541; А542; А88; А488; А540; А2; А210; А930; А640; А248; А614; А777; А631; А741,POINT (37.41287638 55.8292762)
Храм Сергия Радонежского,А88; А488; А777; А837; А337,POINT (37.4056934898 55.8360925204)
Спортшкола,А43; А88; А488; А777; А896,POINT (37.40871609 55.83869542)
Школа № 821,А43; А88; А488; А777; А896,POINT (37.4041136399 55.8460215493)
Детская б-ца,А62; А1082; А173; А88; А488; А896; Тм6,POINT (37.40775714 55.85288588)
Планерная ул.,А678; А173,POINT (37.43084221 55.85797469)
Планерная ул.,А173; АТ,POINT (37.43076917 55.85817638)
НИИАТ,А62; А1208к; А1082; А173; А88; А488; А959; А896,POINT (37.4096491704 55.8554514948)
Детская б-ца,А62; А1082; А173; А88; А488; А896,POINT (37.4069911365 55.852194739)
Школа № 821,А43; А88; А488; А777; А896; А741,POINT (37.4036741876 55.8451508549)
Спортшкола,А43; А88; А488; А777; А896,POINT (37.40779409 55.83860966)
Храм Сергия Радонежского,А88; А488; А777; А837; А337,POINT (37.40498828 55.83498991)
Акад. Коммунального хоз-ва,А456; А456к; А1233к; А575; А326к; А549; А568; А541; А542; А88; А488; А540; А2; А210; А930; А640; А248; А614; А777; А631; А741,POINT (37.41297155 55.82883752)
15-й автобусный парк,А456; А456к; А1233к; А575; А326к; А120; А151; А549; А409; А568; А541; А542; А372; А209к; А88; А488; А540; А2; А210; А930; А904К; А120к; А640; А904; А248; А614; А777; А631; А741,POINT (37.41574481 55.82831896)
Сходненский тупик,А456; А456к; А1233к; А575; А326к; А549; А568; А541; А542; А88; А488; А540; А2; А210; А930; А640; А248; А614; А777; А631; А741,POINT (37.42548966 55.82620278)
Клуб им. Чкалова,А456; А456к; А88; А248,POINT (37.44004068 55.82264714)
Канал им. Москвы,А456; А456к; А88; А904К; А904; А248,POINT (37.4468833 55.82081957)
Гост. Алтай,А677К; А24К,POINT (37.58079912 55.84586431)
Башиловская ул. - Гор. б-ца № 24,А72; А84; А82; А384,POINT (37.57627571 55.79615076)
Ул. Марины Расковой,А82,POINT (37.57652815 55.79070802)
5-я ул. Ямского Поля,А382; А82,POINT (37.57614776 55.78898927)
Издательство Пресса,А82,POINT (37.58100222 55.78690997)
1-я ул. Ямского Поля,А82,POINT (37.58522087 55.78450598)
3-я ул. Ямского Поля,А82,POINT (37.58331026 55.78056554)
Пер. Расковой,А382; А82,POINT (37.57172221 55.78679063)
5-я ул. Ямского Поля,А82,POINT (37.57488842 55.78915877)
К/т Прага,А82; А727; АТ42,POINT (37.57953903 55.79156181)
Вятская ул.,АТ79; А82; А727; АТ42,POINT (37.58286369 55.79173869)
Бутырский рынок,А72; А84; А384,POINT (37.57700018 55.79457583)
Башиловская ул. - Гор. б-ца № 24,А72; А84; А82; А384,POINT (37.57641334 55.79709428)
Театр Золотое кольцо,А72; А82; АО27,POINT (37.5679317249 55.8118896649)
Префектура САО,А72; А82; АО27,POINT (37.56497722 55.81555686)
