address_new,quarters_count,geometry
"Авангардная улица 4, Москва, Россия, 125493",108,POINT (37.492 55.84348)
"Авангардная улица 6 корп 1, Москва, Россия, 125493",198,POINT (37.49149 55.84458)
"Авангардная улица 6 корп 2, Москва, Россия, 125493",100,POINT (37.49186 55.84513)
"Авангардная улица 6 корп 3, Москва, Россия, 125493",100,POINT (37.4927 55.84447)
"Авангардная улица 8 корп 1, Москва, Россия, 125493",100,POINT (37.49033 55.8456)
"Авангардная улица 8 корп 2, Москва, Россия, 125493",84,POINT (37.49197 55.84615)
"Авангардная улица 8 корп 3, Москва, Россия, 125493",84,POINT (37.49185 55.84574)
"Авангардная улица 9 корп 1, Москва, Россия, 125493",84,POINT (37.48823 55.84734)
"Авангардная улица 9 корп 2, Москва, Россия, 125493",125,POINT (37.48699 55.84711)
"Авангардная улица 10, Москва, Россия, 125493",185,POINT (37.4907 55.84624)
"Авангардная улица 10А, Москва, Россия, 125493",1,POINT (37.49079 55.84586)
"Авангардная улица 11, Москва, Россия, 125493",208,POINT (37.48765 55.84819)
"Авангардная улица 12, Москва, Россия, 125493",220,POINT (37.48967 55.84671)
"Авангардная улица 13, Москва, Россия, 125493",112,POINT (37.48828 55.8486)
"Авангардная улица 14, Москва, Россия, 125493",100,POINT (37.49143 55.84745)
"Авангардная улица 14, Москва, Россия, 125493",84,POINT (37.49143 55.84745)
"Авангардная улица 14, Москва, Россия, 125493",84,POINT (37.49143 55.84745)
"Авангардная улица 15, Москва, Россия, 125493",111,POINT (37.48832 55.84901)
"Авангардная улица 16, Москва, Россия, 125493",86,POINT (37.48959 55.84735)
"Авангардная улица 17, Москва, Россия, 125493",112,POINT (37.48879 55.84961)
"Авангардная улица 18, Москва, Россия, 125493",85,POINT (37.48967 55.84811)
"Авангардная улица 19/30, Москва, Россия, 125493",112,POINT (37.4888 55.85004)
"Авангардная улица 20, Москва, Россия, 125493",119,POINT (37.49047 55.84885)
"Авангардная улица 22/32 корп 1, Москва, Россия, 125493",159,POINT (37.49117 55.84912)
"Авангардная улица 22/32 корп 2, Москва, Россия, 125493",100,POINT (37.4917 55.84814)
"улица Авиаконструктора Микояна 14 корп 1, Москва, Россия, 125252",174,POINT (37.52692 55.79326)
